price,nav-link,description,listing-location,bed,bath,carport,surface_area,building_area
695,https://www.rumah123.com/properti/sleman/hos17166670/,Rumah 2 Lantai Baru  di jalan Palagan Sleman Yogyakarta,"Ngaglik, Sleman",3,3,2,120,110
682,https://www.rumah123.com/properti/sleman/hos17166674/,RUMAH BARU DEKAT AL AZHAR DAN UGM,"Jombor, Sleman",3,2,1,102,126
580,https://www.rumah123.com/properti/sleman/hos17166621/,RUMAH ASRI DAN SEJUK DI BERBAH SLEMAN DEKAT PASAR WISATA ALAM,"Berbah, Sleman",2,2,1,100,100
504,https://www.rumah123.com/properti/sleman/hos17166607/,Rumah Murah 5 Menit Dari Candi Prambanan Tersisa 1 Unit,"Prambanan, Sleman",3,1,1,109,67
275,https://www.rumah123.com/properti/sleman/hos17166601/,Rumah Murah Cicilan 1jt Di Moyudan Sleman,"Moyudan, Sleman",2,1,1,60,30
876,https://www.rumah123.com/properti/sleman/hos17166561/,RUMAH 2 LANTAI MANGKU JALAN ASPAL DEPOK MAGUWOHARJO SLEMAN,"Depok, Sleman",5,3,1,125,157
504,https://www.rumah123.com/properti/sleman/hos17166576/,Tersisa 1 Unit Rumah Murah 5 Menit Dari Candi Prambanan,"Prambanan, Sleman",3,1,1,109,67
1687,https://www.rumah123.com/properti/sleman/hos17166543/,Kost Putri + Rumah Induk Dekat Kampus UMY,"Gamping, Sleman",11,11,2,206,290
1380,https://www.rumah123.com/properti/sleman/hos17166510/,2 Rumah dengan Tanah luas Dekat Pasar Jangkang,"Ngaglik, Sleman",5,4,2,300,200
645,https://www.rumah123.com/properti/sleman/hos17166476/,Rumah baru cluster Jalan kaliurang km 13,"Ngaglik, Sleman",3,2,1,145,85
381,https://www.rumah123.com/properti/sleman/hos17166436/,Rumah minimalis timur pasar gentan jakal,"Ngaglik, Sleman",2,1,1,83,50
670,https://www.rumah123.com/properti/sleman/hos17113067/,Rumah Luas dalam Perumahan 12 menit ke Ringroad Maguwoharho,"Ngemplak, Sleman",4,2,1,140,90
